1.627190e+00  36.0484 -118.2909 1.000000e+00
6.487847e+00  37.0000 -122.0000 9.999710e-01
7.619616e+00  33.9519 -118.6733 9.999270e-01
1.019755e+01  36.1103 -120.6740 9.992803e-01
1.295870e+01  33.8713 -115.5294 9.993746e-01
1.453331e+01  36.9425 -121.2940 9.920407e-01
1.600666e+01  36.0055 -120.5305 9.724377e-01
1.784717e+01  33.5040 -116.7642 9.999287e-01
2.219528e+01  37.1552 -117.3767 9.998940e-01
2.522434e+01  33.8344 -116.1794 9.997662e-01
2.907932e+01  33.9210 -118.4913 9.957830e-01
3.022455e+01  36.1493 -120.1075 9.991608e-01
3.026286e+01  36.1867 -120.2060 4.007111e-02
3.027098e+01  37.2850 -121.8867 8.784242e-01
3.147925e+01  33.5035 -116.7653 8.962675e-04
3.149192e+01  33.5105 -116.7672 8.964603e-06
3.181051e+01  33.5024 -116.7661 1.622864e-05
3.238561e+01  37.4575 -118.6452 9.997931e-01
4.096093e+01  36.0018 -120.2322 9.518196e-01
4.119521e+01  35.9985 -120.2575 2.288311e-03
4.588665e+01  30.6433 -113.9367 9.999279e-01
4.845097e+01  36.7215 -118.1055 9.973274e-01
5.163185e+01  33.5157 -116.4521 9.987754e-01
5.195575e+01  33.6661 -116.7533 9.748707e-01
5.325891e+01  35.1958 -120.7337 9.964617e-01
5.354659e+01  36.2472 -120.5335 9.703433e-01
5.411306e+01  36.8443 -121.7958 9.729559e-01
5.412229e+01  37.0433 -121.9867 2.354729e-02
5.438328e+01  36.9975 -121.9817 3.952933e-03
5.763279e+01  34.1837 -118.5970 9.976169e-01
6.647024e+01  33.0688 -115.5842 9.998924e-01
6.897880e+01  37.3272 -118.4343 9.987683e-01
7.058799e+01  33.2182 -115.5392 9.499942e-01
7.096467e+01  35.9370 -114.7727 9.927645e-01
7.454929e+01  36.5787 -115.4247 9.924473e-01
7.625499e+01  34.0920 -117.0015 9.995401e-01
7.649008e+01  30.6225 -114.1230 9.770320e-01
8.089498e+01  30.5793 -116.0890 9.960657e-01
9.008697e+01  33.5944 -116.8090 9.478129e-01
9.626630e+01  32.9504 -116.3186 9.995451e-01
9.706953e+01  31.3550 -115.2688 9.994992e-01
1.009081e+02  35.3479 -118.4887 9.999475e-01
1.083659e+02  35.8328 -117.7693 9.997105e-01
1.083709e+02  35.8378 -117.7725 6.853918e-07
1.083765e+02  35.8322 -117.7680 2.130039e-07
1.083770e+02  35.8202 -117.7578 1.888577e-06
1.083889e+02  35.8338 -117.7699 1.706150e-07
1.090678e+02  33.3737 -116.6939 9.533414e-01
1.110456e+02  31.3005 -119.3918 9.581247e-01
1.112700e+02  33.1013 -115.6306 9.181772e-01
1.121496e+02  35.8445 -117.7716 4.919132e-04
1.136543e+02  37.3997 -118.7668 9.963723e-01
1.140916e+02  33.1057 -115.6235 2.960161e-03
1.140928e+02  33.0997 -115.6304 1.707299e-06
1.142939e+02  33.1062 -115.6235 7.945138e-06
1.145672e+02  33.0988 -115.6307 1.565055e-05
1.147251e+02  33.0962 -115.6221 1.147938e-04
1.151857e+02  33.0956 -115.6172 1.131757e-04
1.154571e+02  33.0932 -115.6215 4.736136e-05
1.154615e+02  33.0973 -115.6211 9.005921e-07
1.155002e+02  33.1056 -115.6221 1.898527e-05
1.155014e+02  33.0955 -115.6182 2.065617e-06
1.155041e+02  33.0958 -115.6188 1.553624e-07
1.155066e+02  33.0863 -115.6183 1.993462e-06
1.155194e+02  33.0371 -115.6793 3.259988e-05
1.155195e+02  33.0815 -115.6317 1.499956e-06
1.155199e+02  33.0311 -115.6795 1.070463e-06
1.155283e+02  33.0770 -115.6585 1.191637e-05
1.155401e+02  33.0992 -115.6001 7.916481e-06
1.155412e+02  33.0605 -115.6821 1.917807e-05
1.155439e+02  33.1018 -115.5919 6.240141e-06
1.156132e+02  33.0962 -115.5900 1.270557e-05
1.156404e+02  33.0985 -115.5982 4.491248e-06
1.156555e+02  33.1017 -115.5923 2.282263e-06
1.156897e+02  33.0897 -115.6273 1.033927e-05
1.157378e+02  33.1603 -115.6267 1.882567e-03
1.158725e+02  33.0994 -115.5843 4.313103e-05
1.159159e+02  33.0881 -115.6325 2.048095e-05
1.161221e+02  33.0966 -115.5986 1.855560e-05
1.164450e+02  33.0294 -115.6812 2.916158e-05
1.167004e+02  33.0610 -115.6774 1.251550e-04
1.176637e+02  34.5511 -120.1610 9.928583e-01
1.196375e+02  33.1772 -115.4848 5.726447e-02
