    mu           A       alpha           c           p           d           q       gamma        bval          N
0.8597    0.3239    1.4962    0.0092    1.1605    1.0075    1.8539    1.0195    1.0089     4020
0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0000    0.0335        0
